Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
3-Jan-22,06,"1,145.70","1,246.56",41.29,40.78,0.00,0.51,14.58,14.43,0.00,0.15,19,8
3-Jan-22,07,"1,327.00","1,401.08",56.32,55.55,0.00,0.77,30.12,29.81,0.00,0.31,19,8
3-Jan-22,08,"1,456.70","1,501.81",55.49,54.86,0.00,0.63,37.64,37.13,0.00,0.51,18,7
3-Jan-22,09,"1,494.80","1,548.22",53.53,52.89,0.00,0.64,42.54,41.89,0.00,0.65,18,6
3-Jan-22,10,"1,533.10","1,579.21",52.07,51.39,0.00,0.68,53.60,52.71,0.00,0.89,19,7
3-Jan-22,11,"1,523.90","1,605.28",78.90,77.84,0.00,1.06,103.49,101.64,0.00,1.85,20,5
3-Jan-22,12,"1,530.10","1,620.18",78.18,77.08,0.00,1.10,131.36,129.02,0.00,2.34,20,6
3-Jan-22,13,"1,540.50","1,622.24",78.23,77.12,0.00,1.11,175.49,172.37,0.00,3.12,20,6
3-Jan-22,14,"1,518.80","1,622.47",77.24,76.14,0.00,1.10,182.77,179.57,0.00,3.20,21,7
3-Jan-22,15,"1,527.70","1,613.88",80.08,79.07,0.00,1.01,167.03,164.17,0.00,2.86,22,8
3-Jan-22,16,"1,535.80","1,626.14",83.47,82.57,0.00,0.90,144.07,141.87,0.00,2.20,22,8
3-Jan-22,17,"1,610.70","1,709.93",113.51,112.51,0.00,1.00,162.00,159.95,0.00,2.05,21,7
3-Jan-22,18,"1,734.90","1,783.11",130.76,129.54,0.00,1.22,194.32,192.11,0.00,2.21,20,7
3-Jan-22,19,"1,639.10","1,752.79",130.02,129.02,0.00,1.00,177.59,175.91,0.00,1.68,19,6
3-Jan-22,20,"1,587.50","1,693.16",115.21,114.46,0.00,0.75,156.32,155.10,0.00,1.22,19,5
3-Jan-22,21,"1,531.00","1,620.98",115.43,114.66,0.00,0.77,130.58,129.68,0.00,0.90,18,5
3-Jan-22,22,"1,456.00","1,512.32",113.67,112.93,0.01,0.73,100.65,99.86,0.00,0.79,17,4
3-Jan-22,23,"1,278.30","1,397.61",102.69,101.78,0.10,0.81,131.18,130.01,0.00,1.17,16,4
3-Jan-22,24,"1,163.40","1,311.44",103.96,103.01,0.00,0.95,96.55,95.63,0.00,0.92,15,2
4-Jan-22,01,"1,174.10","1,266.86",97.25,96.43,0.00,0.82,123.07,121.76,0.00,1.31,13,-1
4-Jan-22,02,"1,135.50","1,242.52",83.89,83.18,0.00,0.71,113.30,111.94,0.00,1.36,12,-2
4-Jan-22,03,"1,130.50","1,241.35",82.07,81.36,0.00,0.71,111.32,110.01,0.00,1.31,12,-2
